_ROW,_FIVETRAN_SYNCED,SURVEY_ID,GROUP_NAME,FILTER_ID,CRITERIA,NAME,COUNT,SURVEY_LABEL,READ_ONLY,ID
141,2025-11-04 14:04:30,374821,Site All Hits,25033391,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=259) or (Q2 like '%12700024%' or Q2 like '%12700025%' or Q2 like '%12700026%' or Q2 like '%12700027%'),Hearst Corporation (US),0,CORE,FALSE,25033391
535,2025-11-04 14:04:30,373075,Frequency,21361300,(Q3= 2),2,226,HISPANIC,FALSE,21361300
498,2025-11-04 14:04:30,373075,Delivery Item,21583708,"(substring(Q257,2,1)='2')","Alcoholic Beverages (e.g., wine, beer, liquor, etc.)",2205,HISPANIC,FALSE,21583708
301,2025-11-04 14:04:30,374821,Creative,24969047,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727246)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727246)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727246)
		)
	)
))",Size/Length - 200x75,0,CORE,FALSE,24969047
136,2025-11-04 14:04:30,374821,TV Network,24629947,(Q684>0) OR (Q253=0),CHARGE-E,6894,CORE,FALSE,24629947
293,2025-11-04 14:04:30,374821,Creative,24969039,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727299)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727299)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727299)
		)
	)
))",Size/Length - 1200x270,52,CORE,FALSE,24969039
53,2025-11-04 14:04:30,374821,Gender,22228333,(Q238=0),Male,11907,CORE,FALSE,22228333
501,2025-11-04 14:04:30,373075,Delivery Item,21583707,"(substring(Q257,1,1)='2')","Fresh Food & Produce  (e.g., meat, dairy, breads, fruit, etc.)",3582,HISPANIC,FALSE,21583707
133,2025-11-04 14:04:30,374821,TV Network,24629944,(Q687>0) OR (Q253=0),CSI,6894,CORE,FALSE,24629944
109,2025-11-04 14:04:30,374821,Site All Hits,22379509,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=28361) or (Q2 like '%12462654%' or Q2 like '%12462655%' or Q2 like '%12462656%' or Q2 like '%12462657%' or Q2 like '%12462658%' or Q2 like '%12462663%' or Q2 like '%12462664%' or Q2 like '%12469316%' or Q2 like '%12590385%'),Facebook Consented (Meta DI) (US),994,CORE,FALSE,22379509
58,2025-11-04 14:04:30,374821,Ethnicity,22228338,"(substring(Q239,1,1)='2')",White/Caucasian,17670,CORE,FALSE,22228338
543,2025-11-04 14:04:30,373075,Gender,21583716,(Q267=1),Female,3028,HISPANIC,FALSE,21583716
442,2025-11-04 14:04:30,373075,Creative,24878499,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724368)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724368)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724368)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878499 and type='mapctrlbanner'))))",Placement Targeting Tactic - 2P Behavioral,1793,HISPANIC,TRUE,24878499
125,2025-11-04 14:04:30,374821,Site All Hits,24090401,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=29020) or (Q2 like '%12620563%' or Q2 like '%12620564%' or Q2 like '%12654065%' or Q2 like '%12654066%'),Good Karma Podcast (US),140,CORE,FALSE,24090401
602,2025-11-04 14:04:30,373075,Site All Hits,22512550,q4 in (select bannerid from adServerBanners where campaignid=78558 and site=21461) or (Q2 like '%12493361%' or Q2 like '%12593749%' or Q2 like '%12593781%' or Q2 like '%12643751%' or Q2 like '%12645673%' or Q2 like '%12674000%'),Amazon CTV (US),52,HISPANIC,FALSE,22512550
527,2025-11-04 14:04:30,373075,"Frequency (1, 2-3, 4-9, 10+)",21361292,Q3 between 4 and 9,4-9,610,HISPANIC,FALSE,21361292
122,2025-11-04 14:04:30,374821,Site All Hits,23901668,"((((((((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (685910)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (685910)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (685910)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=23795352 and type='mapctrlbanner'))))) OR ((((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (685855)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (685855)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (685855)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=23795586 and type='mapctrlbanner')))))) AND (q4 in (select bannerid from adServerBanners where campaignid=79821 and site=27272) or ID IN (select id from answers374821 cross apply [SQL#].[String_Split4k](Q2, ',', 2) SplitTable cross apply [SQL#].[String_Split4k](SplitTable.SplitVal, '-', 2) bannerid where bannerid.SplitNum = 1 and bannerid.SplitVal in ( select value from dbo.surveyfilterelements WHERE surveyfilterelements.filterid=22463585 and type='in-clause' and surveyfilterelements.question='Q2' ) )))) OR (q4 in (select bannerid from adServerBanners where campaignid=79821 and site=14944) or ID IN (select id from answers374821 cross apply [SQL#].[String_Split4k](Q2, ',', 2) SplitTable cross apply [SQL#].[String_Split4k](SplitTable.SplitVal, '-', 2) bannerid where bannerid.SplitNum = 1 and bannerid.SplitVal in ( select value from dbo.surveyfilterelements WHERE surveyfilterelements.filterid=22220651 and type='in-clause' and surveyfilterelements.question='Q2' ) )))",Roku Grouped,4235,CORE,FALSE,23901668
530,2025-11-04 14:04:30,373075,"Frequency (1, 2-3, 4-9, 10-19, 20+)",21361296,(Q3>=20),20+,630,HISPANIC,FALSE,21361296
386,2025-11-04 14:04:30,374821,Site,25033348,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=24254),Amazon Mobile (MX),0,CORE,FALSE,25033348
485,2025-11-04 14:04:30,373075,Creative,24878560,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724363)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724363)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724363)
		)
	)
))",Theme - Teens Selection,0,HISPANIC,FALSE,24878560
106,2025-11-04 14:04:30,374821,DashPass Use,22358841,(Q200_1 in (1)),Used in the past but do not use now,5643,CORE,FALSE,22358841
583,2025-11-04 14:04:30,373075,Past Brand Usage - Have Tried,21587525,(Q261_3 in (1)),Instacart,2186,HISPANIC,FALSE,21587525
426,2025-11-04 14:04:30,373075,Creative,24878456,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724303)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724303)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724303)
		)
	)
))",Format - SOC,0,HISPANIC,FALSE,24878456
591,2025-11-04 14:04:30,373075,Site All Hits,25000278,q4 in (select bannerid from adServerBanners where campaignid=78558 and site=26592) or (Q2 like '%12493362%' or Q2 like '%12593751%' or Q2 like '%12593785%' or Q2 like '%12687816%' or Q2 like '%12687889%'),Amazon (MX),0,HISPANIC,FALSE,25000278
546,2025-11-04 14:04:30,373075,Gender,21583717,(Q267=2),Non-binary or gender fluid,32,HISPANIC,FALSE,21583717
586,2025-11-04 14:04:30,373075,Site All Hits,25000280,q4 in (select bannerid from adServerBanners where campaignid=78558 and site=27103) or (Q2 like '%12493363%' or Q2 like '%12593752%' or Q2 like '%12593934%' or Q2 like '%12687817%' or Q2 like '%12687890%'),Amazon (BR),0,HISPANIC,FALSE,25000280
599,2025-11-04 14:04:30,373075,Site All Hits,25000294,(Q4 = '12593784') or (Q2 like '%12593784%'),Amazon CTV (FR),0,HISPANIC,FALSE,25000294
434,2025-11-04 14:04:30,373075,Creative,24878477,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724299)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724299)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724299)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878477 and type='mapctrlbanner'))))",Placement Device - CSD,2918,HISPANIC,TRUE,24878477
429,2025-11-04 14:04:30,373075,Creative,24878471,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (642364)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (642364)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (642364)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878471 and type='mapctrlbanner'))))",New Filter Creative Size/Length - 30s,2054,HISPANIC,TRUE,24878471
445,2025-11-04 14:04:30,373075,Creative,24878511,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724294)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724294)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724294)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878511 and type='mapctrlbanner'))))",Placement Targeting Tactic - 3P Contextual,2597,HISPANIC,TRUE,24878511
181,2025-11-04 14:04:30,374821,Creative,24968926,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727342)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727342)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727342)
		)
	)
))",Creative Publisher - Trip Advisor,0,CORE,FALSE,24968926
437,2025-11-04 14:04:30,373075,Creative,24878485,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724295)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724295)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724295)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878485 and type='mapctrlbanner'))))",Placement Device - MOB,2236,HISPANIC,TRUE,24878485
450,2025-11-04 14:04:30,373075,Creative,24878516,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724291)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724291)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724291)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878516 and type='mapctrlbanner'))))",Size/Length - 15s,3023,HISPANIC,TRUE,24878516
370,2025-11-04 14:04:30,374821,Site,25033261,q4 in (select bannerid from adServerBanners where campaignid=79821 and site=5068),Amazon (CA),0,CORE,FALSE,25033261
282,2025-11-04 14:04:30,374821,Creative,24969027,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727408)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727408)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727408)
		)
	)
))",Placement Targeting Tactic - Please Ignore these fields,0,CORE,FALSE,24969027
482,2025-11-04 14:04:30,373075,Creative,24878557,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724331)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724331)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724331)
		)
	)
))",Theme - Surveillance,0,HISPANIC,FALSE,24878557
639,2025-11-04 14:04:30,373075,Site,25000291,q4 in (select bannerid from adServerBanners where campaignid=78558 and site=22782),Amazon CTV  (DE),0,HISPANIC,FALSE,25000291
389,2025-11-04 14:04:30,374821,Site,25033378,(Q4 = '12642433'),Amazon Tablet (UK),0,CORE,FALSE,25033378
421,2025-11-04 14:04:30,373075,Creative,24878451,"(((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers373075.id and bannerexposure.surveyid = 373075 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (724329)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers373075.id and creativeexposure.surveyid = 373075 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (724329)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers373075.id and placementexposure.surveyid = 373075 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (724329)
		)
	)
)) or ((Q4 in (select value from surveyfilterelements with(nolock) where filterid=24878451 and type='mapctrlbanner'))))",Campaign - YouTube Select Hispanic,12,HISPANIC,TRUE,24878451
13,2025-11-04 14:04:30,374821,Last Delivery,22228241,(Q230=3),Within the past 1-3 months,2088,CORE,FALSE,22228241
69,2025-11-04 14:04:30,374821,Children in HH,22228349,"(substring(Q240,4,1)='2')",No,9421,CORE,FALSE,22228349
607,2025-11-04 14:04:30,373075,Site All Hits,23838221,((q4 in (select bannerid from adServerBanners where campaignid=78558 and site=17277) or (Q2 like '%12504326%' or Q2 like '%12593746%' or Q2 like '%12593779%' or Q2 like '%12645672%' or Q2 like '%12673998%')) OR (q4 in (select bannerid from adServerBanners where campaignid=78558 and site=21459) or (Q2 like '%12504327%' or Q2 like '%12593748%' or Q2 like '%12593780%' or Q2 like '%12673999%')) OR (q4 in (select bannerid from adServerBanners where campaignid=78558 and site=21461) or (Q2 like '%12493361%' or Q2 like '%12593749%' or Q2 like '%12593781%' or Q2 like '%12643751%' or Q2 like '%12645673%' or Q2 like '%12674000%')) OR (q4 in (select bannerid from adServerBanners where campaignid=78558 and site=3141) or (Q2 like '%12504325%' or Q2 like '%12593745%' or Q2 like '%12593778%' or Q2 like '%12673997%'))),Amazon Partners,145,HISPANIC,FALSE,23838221
149,2025-11-04 14:04:30,374821,Creative,24968893,"((
 exists (
	select 1 from dbo.bannerexposure with (nolock) where  bannerexposure.respondentid = answers374821.id and bannerexposure.surveyid = 374821 and bannerexposure.bannerid  in 
		(
			select cast(element as int) from surveyfiltergroupelements with(nolock) where typeid = 1 and filtergroupid in (727315)
		)
	)
 or 
 exists (
	select 1 from dbo.creativeexposure with (nolock) where  creativeexposure.respondentid = answers374821.id and creativeexposure.surveyid = 374821 and creativeexposure.creativeid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 2 and filtergroupid in (727315)
		)
	)
 or 
 exists (
	select 1 from dbo.placementexposure with (nolock) where  placementexposure.respondentid = answers374821.id and placementexposure.surveyid = 374821 and placementexposure.placementid  in 
		(
			select element from surveyfiltergroupelements with(nolock) where typeid = 3 and filtergroupid in (727315)
		)
	)
))",Creative Publisher - Disney+,4690,CORE,FALSE,24968893
